PROTEINS,0.80180,0.73874,0.72973,0.78378,0.73874
NCI1,0.68127,0.71533,0.72263,0.73236,0.74453
NCI109,0.70874,0.68932,0.65534,0.73786,0.69175
FRANKENSTEIN,0.64434,0.63972,0.64203,0.65589,0.63741
PROTEINS,0.79279,0.77477,0.74775,0.73874,0.70270
NCI1,0.74209,0.72749,0.72263,0.77129,0.72263
PROTEINS,0.78378,0.73874,0.74775,0.73874,0.80180
NCI1,0.70560,0.68856,0.75182,0.70073,0.70316
