PROTEINS,0.79279,0.76577,0.76577,0.72072,0.75676,0.72973,0.74775,0.77477,0.77477,0.74775,0.78378,0.77477,0.73874,0.73874,0.74775,0.79279,0.78378,0.75676,0.74775,0.77477
DD,0.84615,0.76923,0.85470,0.82906,0.81197,0.73504,0.78632,0.76068,0.76923,0.78632,0.82051,0.79487,0.78632,0.81197,0.82906,0.76923,0.72650,0.76923,0.76068,0.80342
NCI1,0.73479,0.78589,0.75426,0.74209,0.68856,0.71046,0.79562,0.72019,0.74453,0.74939,0.76399,0.71046,0.74939,0.75426,0.70073,0.74453,0.71776,0.73236,0.75426,0.73479
NCI109,0.72573,0.67233,0.76214,0.67961,0.68932,0.73301,0.74757,0.67961,0.77427,0.69660,0.75243,0.75971,0.74029,0.69175,0.73786,0.72573,0.75000,0.69903,0.75728,0.73058
FRANKENSTEIN,0.59122,0.66744,0.65127,0.62356,0.67667,0.66282,0.64434,0.65127,0.63048,0.64203,0.63510,0.62125,0.62587,0.61432,0.62587,0.65127,0.61201,0.62356,0.59584,0.65589
