file:new-v1-GraphFPN.py, seed: 100
Epoch: 000, Loss: 0.70242, Train Acc: 0.50045, val Acc: 0.48301, Test Acc: 0.48301
Epoch: 001, Loss: 0.65828, Train Acc: 0.50015, val Acc: 0.48786, Test Acc: 0.48786
Epoch: 002, Loss: 0.66919, Train Acc: 0.56771, val Acc: 0.57524, Test Acc: 0.57524
Epoch: 003, Loss: 0.66542, Train Acc: 0.54862, val Acc: 0.56796, Test Acc: 0.57524
Epoch: 004, Loss: 0.65735, Train Acc: 0.61345, val Acc: 0.58495, Test Acc: 0.58495
Epoch: 005, Loss: 0.65017, Train Acc: 0.60406, val Acc: 0.56796, Test Acc: 0.58495
Epoch: 006, Loss: 0.64745, Train Acc: 0.58740, val Acc: 0.58010, Test Acc: 0.58495
Epoch: 007, Loss: 0.65223, Train Acc: 0.62739, val Acc: 0.57767, Test Acc: 0.58495
Epoch: 008, Loss: 0.64482, Train Acc: 0.55620, val Acc: 0.56068, Test Acc: 0.58495
Epoch: 009, Loss: 0.64127, Train Acc: 0.58649, val Acc: 0.60922, Test Acc: 0.61165
Epoch: 010, Loss: 0.64682, Train Acc: 0.62254, val Acc: 0.63107, Test Acc: 0.63107
Epoch: 011, Loss: 0.64887, Train Acc: 0.65404, val Acc: 0.64320, Test Acc: 0.64078
Epoch: 012, Loss: 0.65007, Train Acc: 0.61678, val Acc: 0.60680, Test Acc: 0.64078
Epoch: 013, Loss: 0.64581, Train Acc: 0.58437, val Acc: 0.59466, Test Acc: 0.64078
Epoch: 014, Loss: 0.64808, Train Acc: 0.59709, val Acc: 0.58495, Test Acc: 0.64078
Epoch: 015, Loss: 0.63740, Train Acc: 0.62133, val Acc: 0.59709, Test Acc: 0.64078
Epoch: 016, Loss: 0.63777, Train Acc: 0.61830, val Acc: 0.59223, Test Acc: 0.64078
Epoch: 017, Loss: 0.63922, Train Acc: 0.60557, val Acc: 0.59223, Test Acc: 0.64078
Epoch: 018, Loss: 0.63343, Train Acc: 0.60648, val Acc: 0.59709, Test Acc: 0.64078
Epoch: 019, Loss: 0.63030, Train Acc: 0.61527, val Acc: 0.58010, Test Acc: 0.64078
Epoch: 020, Loss: 0.63476, Train Acc: 0.61133, val Acc: 0.62136, Test Acc: 0.64078
Epoch: 021, Loss: 0.63151, Train Acc: 0.59891, val Acc: 0.59223, Test Acc: 0.64078
Epoch: 022, Loss: 0.62599, Train Acc: 0.63556, val Acc: 0.61650, Test Acc: 0.64078
Epoch: 023, Loss: 0.62167, Train Acc: 0.63587, val Acc: 0.62136, Test Acc: 0.64078
Epoch: 024, Loss: 0.63532, Train Acc: 0.62769, val Acc: 0.59709, Test Acc: 0.64078
Epoch: 025, Loss: 0.63461, Train Acc: 0.63284, val Acc: 0.60922, Test Acc: 0.64078
Epoch: 026, Loss: 0.63364, Train Acc: 0.64980, val Acc: 0.60680, Test Acc: 0.64078
Epoch: 027, Loss: 0.63147, Train Acc: 0.62557, val Acc: 0.59709, Test Acc: 0.64078
Epoch: 028, Loss: 0.63650, Train Acc: 0.61587, val Acc: 0.58495, Test Acc: 0.64078
Epoch: 029, Loss: 0.63031, Train Acc: 0.62314, val Acc: 0.59223, Test Acc: 0.64078
Epoch: 030, Loss: 0.62765, Train Acc: 0.62042, val Acc: 0.59709, Test Acc: 0.64078
Epoch: 031, Loss: 0.62196, Train Acc: 0.64586, val Acc: 0.60680, Test Acc: 0.64078
Epoch: 032, Loss: 0.63158, Train Acc: 0.61224, val Acc: 0.59951, Test Acc: 0.64078
Epoch: 033, Loss: 0.62064, Train Acc: 0.63738, val Acc: 0.60194, Test Acc: 0.64078
Epoch: 034, Loss: 0.62397, Train Acc: 0.61557, val Acc: 0.58495, Test Acc: 0.64078
Epoch: 035, Loss: 0.62740, Train Acc: 0.63132, val Acc: 0.60922, Test Acc: 0.64078
Epoch: 036, Loss: 0.61508, Train Acc: 0.62527, val Acc: 0.58738, Test Acc: 0.64078
Epoch: 037, Loss: 0.62909, Train Acc: 0.65495, val Acc: 0.65534, Test Acc: 0.65534
Epoch: 038, Loss: 0.62383, Train Acc: 0.64162, val Acc: 0.61408, Test Acc: 0.65534
Epoch: 039, Loss: 0.62262, Train Acc: 0.60224, val Acc: 0.58738, Test Acc: 0.65534
Epoch: 040, Loss: 0.61619, Train Acc: 0.64768, val Acc: 0.63350, Test Acc: 0.65534
Epoch: 041, Loss: 0.61420, Train Acc: 0.65647, val Acc: 0.62621, Test Acc: 0.65534
Epoch: 042, Loss: 0.63153, Train Acc: 0.62436, val Acc: 0.61893, Test Acc: 0.65534
Epoch: 043, Loss: 0.62139, Train Acc: 0.60497, val Acc: 0.56796, Test Acc: 0.65534
Epoch: 044, Loss: 0.62135, Train Acc: 0.59255, val Acc: 0.61165, Test Acc: 0.65534
Epoch: 045, Loss: 0.62260, Train Acc: 0.60921, val Acc: 0.57524, Test Acc: 0.65534
Epoch: 046, Loss: 0.62865, Train Acc: 0.62829, val Acc: 0.58981, Test Acc: 0.65534
Epoch: 047, Loss: 0.62430, Train Acc: 0.66071, val Acc: 0.63835, Test Acc: 0.65534
Epoch: 048, Loss: 0.61730, Train Acc: 0.60315, val Acc: 0.61893, Test Acc: 0.65534
Epoch: 049, Loss: 0.62929, Train Acc: 0.64011, val Acc: 0.61893, Test Acc: 0.65534
Epoch: 050, Loss: 0.62015, Train Acc: 0.64011, val Acc: 0.60922, Test Acc: 0.65534
